bulan,kecamatan,kelurahan,rata_rata_ketinggian_air,lama_genangan,rw_terdampak,kk_terdampak,jiwa_terdampak,korban_meninggal,korban_hilang,korban_luka_berat,korban_luka_ringan,jumlah_jiwa_pengungsi_tertinggi,jumlah_tempat_pengungsian,jumlah_nilai_kerugian
01,5,8,5-40,1 s/d 2 ,25,0,0,0,0,0,0,0,0,n.a
02,24,43,5-300,1 s/d 6 ,162,5467,19456,1,0,1,0,15558,60,n.a
03,6,8,10-100,1,21,303,1000,0,0,0,0,0,0,n.a
04,6,8,5-90,1,19,300,988,0,0,0,0,0,0,n.a
05,8,17,10-150,1,47,214,716,0,0,0,0,69,2,n.a
06,5,8,10-100,1,18,328,1068,0,0,0,0,0,0,n.a
07,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
08,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
09,0,0,0,0,0,0,0,0,0,0,0,0,0,n.a
10,4,5,10-80,1,13,387,1001,0,0,0,0,0,0,n.a
11,11,16,5-100,1,28,1848,7597,0,0,0,0,0,0,n.a
12,14,22,3-100,1,38,244,877,0,0,0,0,0,0,n.a
